POST_TRANSACTION_ACCOUNT_BALANCES,AMOUNT,BOOKING_DATE,CURRENCY_CODE,EXTERNAL_ID,ID,PARENT_ACCOUNT_KEY,
"{
  ""total_balance"": 1.18
}",-4.13,2025-02-18 06:45:00.000 +0800,SGD,,14536129,8a8e8f5b94dcabae0194df44314e70cc,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""MTR - Rides"",
    ""street"": ""HONGKONG HK""
  },
  ""encoded_key"": ""8a8e8e3795156b5701951616124a15d8"",
  ""external_reference_id"": ""465048818996301-1739861099000""
}"
"{
  ""total_balance"": 41.84
}",-3.7,2025-02-18 05:15:24.000 +0800,SGD,,14534251,8a8e8ebf94d789000194d9654c6e435e,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515c4095a054d"",
  ""external_reference_id"": ""585048765229348-1739855723000""
}"
"{
  ""total_balance"": 15335.58
}",-3.5,2025-02-18 06:28:21.000 +0800,SGD,,14535757,8a8e8f3991667b8f01916b14b3de0ef2,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a01951606d29112cc"",
  ""external_reference_id"": ""465048808994784-1739860099000""
}"
"{
  ""total_balance"": 49558.71
}",-1.19,2025-02-18 05:44:39.000 +0800,SGD,,14534939,8a8e8eb79079f29a01907dc8a77c6542,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515ded0f30c7d"",
  ""external_reference_id"": ""585048782730424-1739857478000""
}"
"{
  ""total_balance"": 80.25
}",-2.5,2025-02-18 07:25:35.000 +0800,SGD,,14536806,8a8e8e3794d22bd80194d5777e7a34fe,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a0195163b3bc81e34"",
  ""external_reference_id"": ""305048843342002-1739863534000""
}"
"{
  ""total_balance"": 5501.4
}",-5.98,2025-02-18 06:12:31.000 +0800,SGD,,14535451,8a8e8e21935a704401935d55f4484318,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8fec95151e1f019515f853ce11e7"",
  ""external_reference_id"": ""585048799496002-1739859149000""
}"
"{
  ""total_balance"": 1987.82
}",-2.34,2025-02-18 05:33:19.000 +0800,SGD,,14534687,8a8e8f968aa00e74018aa2e72b683908,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8eda9510404b019515d46f775023"",
  ""external_reference_id"": ""585048775964966-1739856797000""
}"
"{
  ""total_balance"": 43353.09
}",-4.2,2025-02-18 05:39:26.000 +0800,SGD,,14534815,8a8e8ecf90a8502a0190a9dd82f4136a,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8e3795156b57019515da0abe0809"",
  ""external_reference_id"": ""585048779659005-1739857165000""
}"
"{
  ""total_balance"": 12.88
}",-3.52,2025-02-18 07:07:53.000 +0800,SGD,,14536571,8a8e8f6194d793260194e07ad9116187,"{
  ""card_acceptor"": {
    ""mcc"": 4111,
    ""name"": ""BUS/MRT"",
    ""street"": ""SINGAPORE SG""
  },
  ""encoded_key"": ""8a8e8ff595154c290195162b07211c57"",
  ""external_reference_id"": ""385048832723319-1739862472000""
}"
"{
  ""total_balance"": 15022.06
}",-5000,2025-02-18 06:30:54.000 +0800,SGD,,14535812,8a8e8fda94f111c10194f53c8dc675cb,"{
  ""card_acceptor"": {
    ""mcc"": 7399,
    ""name"": ""AXS PTE LTD"",
    ""street"": ""63897938 SG""
  },
  ""encoded_key"": ""8a8e8fc49515611a019516092b4f1394"",
  ""external_reference_id"": ""585048810535176-1739860253000""
}"
